#NAME,OPEN_DATE,URL,
Conrad Bora Bora Nui,2017-11-01,http://conradhotels3.hilton.com/en/hotels/french-polynesia/conrad-bora-bora-nui-PPTBNCI/gallery/index.html,
Conrad Hangzhou Tonglu,2019-05-01,https://conradhotels3.hilton.com/en/hotels/china/conrad-hangzhou-tonglu-HGHYFCI/index.html,
Conrad Punta de Mita,2020-02-01,https://conradhotels3.hilton.com/en/hotels/nayarit/conrad-punta-de-mita-PVRPMCI/index.html,
Conrad Shenyang,2019-06-01,https://conradhotels3.hilton.com/en/hotels/china/conrad-shenyang-SHEYACI/index.html,
Conrad Tianjin,2019-08-01,https://conradhotels3.hilton.com/en/hotels/china/conrad-tianjin-TSNTNCI/index.html,
CoolRooms Atocha,2020-02-01,https://coolrooms.com/atocha/en/,
Courtyard by Marriott Aruba Resort,2020-01-01,https://www.marriott.com/hotels/travel/auacy-courtyard-aruba-resort/,
Crowne Plaza Christchurch,2017-07-07,https://www.ihg.com/crowneplaza/hotels/us/en/christchurch/chccs/hoteldetail,
Crowne Plaza Muscat,2017-12-01,https://www.ihg.com/crowneplaza/hotels/us/en/muscat/msccp/hoteldetail,
Crowne Plaza Nairobi Airport,2018-04-01,https://www.ihg.com/crowneplaza/hotels/us/en/nairobi/nboir/hoteldetail,
Crowne Plaza Nanchang Wanli,2018-03-31,https://www.ihg.com/crowneplaza/hotels/us/en/nanchang/khncp/hoteldetail,
Crowne Plaza Riyadh Palace,2018-06-01,https://www.ihg.com/crowneplaza/hotels/us/en/riyadh/ruhrp/hoteldetail,
Crowne Plaza Shanghai Pujiang,2017-08-27,https://www.ihg.com/crowneplaza/hotels/us/en/shanghai/shgpu/hoteldetail,
de Crillon A Rosewood Hotel,2017-07-01,https://www.rosewoodhotels.com/en/hotel-de-crillon,
DoubleTree by Hilton Goa - Panaji,2018-09-01,https://doubletree3.hilton.com/en/hotels/india/doubletree-by-hilton-goa-panaji-GOIGDDI/index.html,
DoubleTree by Hilton Hotel Gaziantep,2018-10-01,https://doubletree3.hilton.com/en/hotels/turkey/doubletree-by-hilton-hotel-gaziantep-GZTDTDI/index.html,
DoubleTree by Hilton Okinawa Chatan Resort,2018-09-01,https://doubletree3.hilton.com/en/hotels/japan/doubletree-by-hilton-okinawa-chatan-resort-OKADIDI/index.html,
DoubleTree by Hilton Stratford-upon-Avon,2018-08-01,https://doubletree3.hilton.com/en/hotels/united-kingdom/doubletree-by-hilton-stratford-upon-avon-BHXSADI/index.html,
DoubleTree by Hilton Wellington,2018-09-01,https://doubletree3.hilton.com/en/hotels/new-zealand/doubletree-by-hilton-wellington-WLGNTDI/index.html,
DoubleTree Resort by Hilton Hainan – Xinglong Lakeside,2018-09-01,https://doubletree3.hilton.com/en/hotels/china/doubletree-resort-by-hilton-hainan-xinglong-lakeside-WXJXADI/index.html,
Eclipse at Half Moon,2020-03-01,https://www.halfmoon.com/rooms/eclipse,
Eden Rock,2020-01-01,https://www.oetkercollection.com/hotels/eden-rock-st-barths/,
El Llorenc Parc de la Mar,2019-07-15,https://www.elllorenc.com/en/home.html,
Elizabeth Unique Hotel,2018-04-01,http://www.ehrome.com/en/,
Emerald Palace Kempinski Dubai,2019-01-15,https://www.kempinski.com/en/dubai/emerald-palace-kempinski-dubai/,
Estudio Playa Mujeres,2019-01-15,https://atelierdehoteles.com/estudio-playa-mujeres/,
"FABRIC HOTEL, TEL AVIV",2018-06-01,https://www.atlas.co.il/fabric-hotel-tel-aviv,
Fairmont Maldives Sirru Fen Fushi,2018-04-01,http://www.sirrufenfushi.com/,
Fantasia Bahia Principe Tenerife,2018-10-01,https://www.bahia-principe.com/en/hotels-in-spain/resort-fantasia/,
Fendi Private Suites,2018-04-01,http://www.fendiprivatesuites.com/en,
Fiji Marriott Resort Momi Bay,2017-12-01,https://www.marriott.com/hotels/travel/nanmc-fiji-marriott-resort-momi-bay/,
Finca Serena,2019-11-01,https://www.fincaserenamallorca.com/,
Finca Serena Mallorca,2019-05-01,https://www.fincaserenamallorca.com/,
Finest Punta Cana,2020-09-15,https://www.finestresorts.com/punta-cana/finest-punta-cana/?partner=5830,
Four Points By Sheraton Changsha,2017-12-08,https://www.starwoodhotels.com/preferredguest/property/overview/index.html?propertyID=4435,
Four Seasons Hotel Bangkok At Chao Phraya River,2020-05-01,https://www.fourseasons.com/bangkok/,
Four Seasons Hotel Bengaluru,2018-09-01,https://www.fourseasons.com/bengaluru/,
Four Seasons Hotel Kuala Lumpur,2018-05-01,https://www.fourseasons.com/kualalumpur/,
Four Seasons Hotel Kuwait at Burj Alshaya,2017-08-30,https://www.fourseasons.com/kuwait/,
Four Seasons Hotel Madrid,2020-05-01,https://www.fourseasons.com/madrid/,
FOUR SEASONS HOTEL MEGEVE,2017-12-15,https://www.fourseasons.com/megeve/,
Four Seasons Hotel Sao Paulo,2018-08-01,https://www.fourseasons.com/saopaulo/,
FOUR SEASONS HOTEL TUNIS,2017-12-11,https://www.fourseasons.com/tunis/,
Four Seasons Resort Los Cabos,2019-08-01,https://www.fourseasons.com/loscabos/,
FOUR SEASONS RESORT SEYCHELLES AT DESROCHES ISLAND,2018-03-01,https://www.fourseasons.com/seychellesdesroches/,
Four Seasons Hotel Singapore,2018-09-01,https://www.fourseasons.com/singapore/,
FV by Peppers,2018-03-01,https://www.peppers.com.au/fv/,
Gangtey Lodge Bhutan,2020-01-01,https://www.gangteylodge.com/,
Garza Blanca Los Cabos,2019-01-15,https://cabo.garzablancaresort.com/,
Gennadi Grand Resort,2018-06-01,https://www.gennadigrandresort.com/,
Gevora Hotel,2018-02-01,http://gevorahotels.com/,
Golden Tulip Skybay Hotel,2018-03-01,http://www.goldentulipskybay.com/,
"Gran Hotel Costa Rica, Curio Collection by Hilton",2018-06-01,http://curiocollection3.hilton.com/en/hotels/costa-rica/gran-hotel-costa-rica-curio-collection-by-hilton-SJOCUQQ/index.html,
"Gran Hotel Montesol Ibiza, Curio Collection by Hilton",2017-07-01,http://curiocollection3.hilton.com/en/hotels/spain/gran-hotel-montesol-ibiza-curio-collection-by-hilton-IBZMOQQ/index.html,
"Grand Hotel des Sablettes Plage, Curio Collection by Hilton",2017-07-01,http://curiocollection3.hilton.com/en/hotels/france/grand-hotel-des-sablettes-plage-curio-collection-by-hilton-TLNSPQQ/index.html,
